title,summary,donor,geographic_location,deadline,view_grant,application_link,grant_page_url,source_listing_url
UNEP Invites Proposals for National Textile LCI Database Development (India),Deadline: 05-Apr-2026 The United Nations Environment Programme has launched a call for proposals to develop a National Textile Life Cycle Inventory (LCI) Database for India under the InTex Programme. The initiative aims to enable a circular textile economy by improving access to reliable environmental data across the textile value chain. Eligible applicants must be not-for-profit,UNEP,,05-Apr-2026,view grant link,https://www.unep.org/calls-for-proposals,https://www2.fundsforngos.org/business-industry/unep-invites-proposals-for-national-textile-lci-database-development-india/,https://www2.fundsforngos.org/tag/lebanon/
Abdul Hameed Shoman Award for Children’s Literature,"Deadline: 31-Mar-2026 The Abdul Hameed Shoman Foundation invites Arab writers to submit original Arabic literary works for children aged 6–8, focusing on early school experiences such as embarrassment and bullying. Winners receive publication, prize money, and recognition, promoting high-quality children’s literature that supports imagination, emotional development, and cultural identity. Overview The award encourages the creation",Abdul Hameed Shoman Foundation,Prepare your manuscript,31-Mar-2026,view grant link,https://shoman.org/en/ChildrenLiteratureAward,https://www2.fundsforngos.org/children/abdul-hameed-shoman-award-for-childrens-literature/,https://www2.fundsforngos.org/tag/lebanon/
Healthy Lungs for Life Grants Programme 2026,"Deadline: 16-Apr-2026 The Healthy Lungs for Life Grants Programme 2026 provides funding to support initiatives that raise awareness, educate communities, and promote lung health across all age groups. Grants range from €1,000 to €5,000, enabling not-for-profits, healthcare professionals, and community groups to organize impactful projects that focus on prevention, early intervention, and healthy habits. Overview",European Lung Foundation,,16-Apr-2026,view grant link,https://europeanlung.org/en/projects-and-campaigns/healthy-lungs-for-life/hold-your-own-event/apply-for-a-grant/,https://www2.fundsforngos.org/children/healthy-lungs-for-life-grants-programme-2026/,https://www2.fundsforngos.org/tag/lebanon/
“25 to 25: Young and Bold” Competition (Ukraine),"Deadline: 30-Mar-2026 The “25 to 25: Young and Bold” Competition by the Media Development Foundation celebrates young media professionals under 25 who are actively contributing to independent media and community engagement. The program recognizes emerging talent, encourages professional growth, and supports meaningful contributions in journalism, editing, media management, communications, and photography. Nominations are open to",Public Space,"both individuals and editorial offices, highlighting impactful work in media",30-Mar-2026,view grant link,https://www.facebook.com/mdfoundationUA/posts/pfbid0rLVaWWfquxPyoXfywXYPLzeDZzFozK7jB1z4xhrH3kBq6hawZqbhTWWKVjG3VGFcl,https://www2.fundsforngos.org/community-development/25-to-25-young-and-bold-competition-ukraine/,https://www2.fundsforngos.org/tag/lebanon/
Applications open for Youth to the Front Fund,"Deadline: 06-Apr-2026 The Youth to the Front Fund supports young creatives under 30 whose work drives measurable social impact. Projects span arts, performance, film, design, technology, and community interventions, focusing on equity, justice, and systemic change, with opportunities for mentorship, collaboration, and visibility across global networks. About the Fund The Youth to the Front Fund",We Are Family Foundation,,06-Apr-2026,view grant link,https://www.wearefamilyfoundation.org/apply-2026-frontliner,https://www2.fundsforngos.org/community-development/applications-open-for-youth-to-the-front-fund/,https://www2.fundsforngos.org/tag/lebanon/
Call for Applications: Three Dot Dash Program,"Deadline: 19-Mar-2026 The Three Dot Dash Program empowers teenagers leading environmental and community-driven sustainability projects to become Global Teen Leaders. Participants join a year-long leadership development journey, including the 2026 Just Peace Summit in London, mentorship, virtual programming, and a global support network. Applicants must be 13–19 years old, actively leading impactful projects, and committed",We Are Family Foundation,,19-Mar-2026,view grant link,https://www.wearefamilyfoundation.org/three-dot-dash-apply,https://www2.fundsforngos.org/community-development/call-for-applications-three-dot-dash-program/,https://www2.fundsforngos.org/tag/lebanon/
Call for EOIs: Climate-Resilient WASH Services in Karamoja (Uganda),"Deadline: 07-Apr-2026 The UNICEF Uganda WASH Grants 2030 support initiatives that improve water, sanitation, hygiene (WASH), and environmental sustainability for children and families. With an indicative budget of $282,177, the programme focuses on climate-resilient infrastructure, safe hygiene practices, and system strengthening. The goal is to achieve clean, safe, and sustainable communities by 2030. What is",UN Partner Portal,Uganda (selected regions),07-Apr-2026,view grant link,https://www.unpartnerportal.org/landing/opportunities/,https://www2.fundsforngos.org/community-development/call-for-eois-climate-resilient-wash-services-in-karamoja-uganda/,https://www2.fundsforngos.org/tag/lebanon/
Call for Operator to Implement Bouaké Urban Nursery (Côte d’Ivoire),"Deadline: 04-May-2026 The Bouaké Urban Nursery Call for Initiatives seeks an operator to implement a cultural and social innovation space in Bouaké under the Cultures Côte d’Ivoire project. Funded by the French Development Agency, the initiative supports participatory urban development, cultural programming, and creative industries. Eligible applicants include NGOs, associations, and consortiums with strong experience",AFD,and Timeline,04-May-2026,view grant link,https://www.afd.fr/fr/appels-a-projets/pepiniere-urbaine-bouake-cultures-cote-ivoire,https://www2.fundsforngos.org/community-development/call-for-operator-to-implement-bouake-urban-nursery-cote-divoire/,https://www2.fundsforngos.org/tag/lebanon/
Call for Proposals: Citizen Security Research Initiative,"Deadline: 15-Apr-2026 The CSRI invites researchers to submit proposals for projects generating actionable evidence to strengthen justice systems, law enforcement, and community safety. Funding supports pilot studies, full impact evaluations, infrastructure creation, and foundational research, with grants ranging from $75,000 to $400,000. About the Initiative The CSRI aims to inform policies and programs that enhance",IPA,,15-Apr-2026,view grant link,https://poverty-action.org/csri-call-for-proposals,https://www2.fundsforngos.org/community-development/call-for-proposals-citizen-security-research-initiative/,https://www2.fundsforngos.org/tag/lebanon/
CFPs: Women’s and Youth Organizations to Strengthen Communal Peace and Social Cohesion (South Sudan),"Deadline: 31-Mar-2026 The Peace and Community Cohesion III (PaCC) Programme by the United Nations Development Programme and the Government of South Sudan offers multiple funding opportunities for NGOs and CSOs to promote peacebuilding, social cohesion, and community resilience. The programme targets conflict-affected regions with funding across six thematic slots, addressing violence reduction, women’s leadership, reintegration,",UNDP,Areas,31-Mar-2026,view grant link,https://procurement-notices.undp.org/view_notice.cfm?notice_id=98794,https://www2.fundsforngos.org/community-development/cfps-womens-and-youth-organizations-to-strengthen-communal-peace-and-social-cohesion-south-sudan/,https://www2.fundsforngos.org/tag/lebanon/
Growth Fund Supporting Social Innovation Scaling (Ireland),"Deadline: 20-Apr-2026 The Growth Fund 2026–2029 is a €3.6 million funding initiative in Ireland supporting up to three high-performing organisations to scale proven social innovations. Each selected organisation can receive up to €1.15 million, combining financial support with tailored business assistance. The fund focuses on impact-driven projects in areas such as education, health, equality, and",Rethink Ireland,,20-Apr-2026,view grant link,https://rethinkireland.ie/current_fund/growthfund2026/,https://www2.fundsforngos.org/community-development/growth-fund-supporting-social-innovation-scaling-ireland/,https://www2.fundsforngos.org/tag/lebanon/
Micro-Projects Grant Opportunity in Nordhorn-Neuenhaus-Lage (Germany),"Deadline: 01-May-2026 The Nordhorn–Neuenhaus–Lage Micro-Project Funding Programme 2026 provides small grants of up to €2,500 to support community-driven initiatives that improve public spaces and local cohesion. With a total funding pool of €30,000, the programme aims to strengthen civic engagement, social interaction, and village development. Eligible applicants include associations, institutions, parishes, and individuals in the",Samtgemeinde Neuenhaus,,01-May-2026,view grant link,https://www.neuenhaus.de/:translation/en/samtgemeinde-neuenhaus/start/samtgemeinde/aktuelles/neuigkeiten/2026/aufruf-zur-bewerbung-fuer-kleinstvorhaben/,https://www2.fundsforngos.org/community-development/micro-projects-grant-opportunity-in-nordhorn-neuenhaus-lage-germany/,https://www2.fundsforngos.org/tag/lebanon/
Open Call: Gender Empowerment Now! Training Programme,"Deadline: 20-Mar-2026 The UNITAR Gender Empowerment Now! Training Programme – Cycle 6 supports NGO representatives and independent activists in the Middle East and North Africa to strengthen skills in gender equality, women’s empowerment, and peacebuilding. Selected participants will design and facilitate community workshops, develop training materials, and gain practical tools to advance gender mainstreaming within",UNITAR,Eligibility requirements include:,20-Mar-2026,view grant link,https://unitar.org/about/news-stories/news/call-applications-gender-empowerment-now-women-peace-and-security-cycle-6,https://www2.fundsforngos.org/community-development/open-call-gender-empowerment-now-training-programme/,https://www2.fundsforngos.org/tag/lebanon/
RFPs: Promoting Regenerative Agriculture System through Safe Farming Practices (Nepal),"Deadline: 03-Apr-2026 The United Nations Development Programme Nepal, in partnership with Dhangadhi Sub-Metropolitan City, is seeking service providers to operationalize agricultural collection centers and strengthen market linkages. The initiative focuses on green jobs, climate-resilient farming, and sustainable livelihoods under the Green Transition Portfolio. Eligible applicants must have experience in sustainable agriculture, farmer training, and community-based",UNDP,Location:,03-Apr-2026,view grant link,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=43727,https://www2.fundsforngos.org/community-development/rfps-promoting-regenerative-agriculture-system-through-safe-farming-practices-nepal/,https://www2.fundsforngos.org/tag/lebanon/
Submissions open for the ODI Fellowship Scheme,"Deadline: 31-Mar-2026 The ODI Fellowship Scheme offers fully funded two-year placements for young professionals in global development, providing opportunities to work within government ministries and agencies worldwide. Fellows gain hands-on experience in economic, statistical, and policy roles while strengthening institutional capacity and advancing their careers in development and public sector organizations. About the Scheme The",ODI Global,,31-Mar-2026,view grant link,https://odi.org/en/fellowship-scheme/,https://www2.fundsforngos.org/community-development/submissions-open-for-the-odi-fellowship-scheme/,https://www2.fundsforngos.org/tag/lebanon/
Apply now for Canada Fund for Local Initiatives 2026,"Deadline: 30-Apr-2026 The Canada Fund for Local Initiatives (CFLI) – ASEAN 2026 by Global Affairs Canada supports small-scale, high-impact projects across ASEAN countries. Grants typically range from CAD 20,000 to CAD 40,000, with a maximum of CAD 100,000 per project. The program prioritizes inclusive governance, peace and security, and inclusive economic growth, with strong emphasis",Government of Canada,Measurable outcomes,30-Apr-2026,view grant link,https://www.international.gc.ca/world-monde/funding-financement/cfli-fcil/asean-anase.aspx?lang=eng,https://www2.fundsforngos.org/democracy-good-governance/apply-now-for-canada-fund-for-local-initiatives-2026/,https://www2.fundsforngos.org/tag/lebanon/
7th Edition of the “La Francophonie avec Elles” Fund,"Deadline: 26-Apr-2026 The International Organisation of the Francophonie (OIF) has launched the 7th edition of the “La Francophonie avec Elles” Fund to support socio-economic empowerment of women and girls. The initiative provides grants of up to €100,000 for projects promoting vocational training, entrepreneurship, and sustainable economic opportunities for vulnerable women across OIF member states. Project",OIF,for the Fund?,26-Apr-2026,view grant link,https://www.francophonie.org/index.php/appel-candidatures-7e-edition-fonds-la-francophonie-avec-elles-8391,https://www2.fundsforngos.org/economic-development/7th-edition-of-the-la-francophonie-avec-elles-fund/,https://www2.fundsforngos.org/tag/lebanon/
Call for Proposals:  Innovation Grants 2026 (Philippines),"Deadline: 05-May-2026 The 2026 Innovation Grants in the Philippines provide PHP 100 million in funding for government-led innovation projects under the Philippine Innovation Act (RA 11293). Managed by the Department of Economy, Planning, and Development (DEPDev), the program supports inclusive growth, MSME integration, and solutions benefiting marginalized communities. Eligible public institutions can apply by submitting","Department of Planning, Economy and Development",for the Innovation Grants?,05-May-2026,view grant link,https://www.facebook.com/photo?fbid=1207981411505427&set=pcb.1207981571505411,https://www2.fundsforngos.org/economic-development/call-for-proposals-innovation-grants-2026-philippines/,https://www2.fundsforngos.org/tag/lebanon/
TIAW World of Difference Awards for Women’s Economic Empowerment,"Deadline: 22-May-2026 The International Alliance for Women (TIAW) World of Difference Awards honor individuals and organizations advancing women’s economic empowerment globally. Awards recognize impactful initiatives in entrepreneurship, education, corporate leadership, public sector work, and community projects, with additional lifetime and member-specific recognitions. What Are the TIAW World of Difference Awards? The TIAW World of Difference",The International Alliance for Women,,22-May-2026,view grant link,https://tiaw.org/awards/,https://www2.fundsforngos.org/economic-development/tiaw-world-of-difference-awards-for-womens-economic-empowerment/,https://www2.fundsforngos.org/tag/lebanon/
Advancing Racial Equity in Education Through Research Grants,"Deadline: 04-May-2026 The Spencer Foundation Racial Equity Research Grants Program provides funding of up to $75,000 for research addressing racial inequality in education.It supports rigorous, innovative studies across all education levels worldwide to generate actionable insights and advance educational equity. What is the Program About? The Racial Equity Research Grants Program funds academic research projects",The Spencer Foundation,global applicants,04-May-2026,view grant link,https://www.spencer.org/grant_types/racial-equity-special-research-grants,https://www2.fundsforngos.org/education/advancing-racial-equity-in-education-through-research-grants/,https://www2.fundsforngos.org/tag/lebanon/
Applications open for Educational Scholarship,"Deadline: 17-Apr-2026 The Slow Food Educational Scholarship supports emerging beverage professionals to attend global industry events focused on sustainability, networking, and skill-building. Selected participants gain full event registration, lodging, travel stipends, and mentorship, while deepening knowledge of sustainable practices and the Slow Food values of good, clean, and fair food and beverage. This initiative targets",Slow Food,for the Slow Food Educational Scholarship?,17-Apr-2026,view grant link,https://www.slowfood.com/it/insights/calls-for-proposals/,https://www2.fundsforngos.org/education/applications-open-for-educational-scholarship/,https://www2.fundsforngos.org/tag/lebanon/
AWIU Global Micro-Grants for Women’s Empowerment,"Deadline: 16-Apr-2026 The AWIU Global Micro-Grants program funds grassroots women-led initiatives in low and middle-income countries, focusing on education, health, and entrepreneurship. Grants of up to USD 3,000 support short-term, measurable projects with scalable community impact, enhancing women’s wellbeing and fostering sustainable development. About the Program The AWIU Global Micro-Grants program supports small-scale, high-impact projects",AWIU,,16-Apr-2026,view grant link,https://awiu.org/global-micro-grants/,https://www2.fundsforngos.org/education/awiu-global-micro-grants-for-womens-empowerment/,https://www2.fundsforngos.org/tag/lebanon/
Call for Nominations: UNESCO Prize for Girls’ and Women’s Education,"Deadline: 12-May-2026 The UNESCO Prize for Girls’ and Women’s Education recognizes innovative initiatives that improve educational opportunities for girls and women. Funded by the Government of China, the prize awards two laureates annually with $50,000 USD each to support and expand impactful educational programs. Overview The prize aims to highlight exceptional efforts that: Advance education",UNESCO,,12-May-2026,view grant link,https://www.unesco.org/en/articles/call-nominations-2026-unesco-prize-girls-and-womens-education-now-open,https://www2.fundsforngos.org/education/call-for-nominations-unesco-prize-for-girls-and-womens-education/,https://www2.fundsforngos.org/tag/lebanon/
Entries Open: Intercultural Achievement Award 2026,"Deadline: 31-Mar-2026 The Intercultural Achievement Award 2026, offered by the Austrian Federal Ministry for European and International Affairs, recognizes impactful projects that promote intercultural and interreligious dialogue. Winning initiatives can receive EUR 6,000 per category and must demonstrate innovation, sustainability, and measurable societal impact. Eligible applicants include non-profit organizations, associations, foundations, and private-sector organizations working",Federal Ministry for European and International Affairs,,31-Mar-2026,view grant link,https://www.bmeia.gv.at/en/european-foreign-policy/international-cultural-policy/iaa/call-for-applications,https://www2.fundsforngos.org/education/entries-open-intercultural-achievement-award-2026/,https://www2.fundsforngos.org/tag/lebanon/
Fairways Foundation Grant to support Conservation-Based Projects,"Deadline: 30-Apr-2026 The FairWays Foundation funds conservation-focused projects that promote sustainable environmental practices within golf courses and professional turf or ornamental management. The program supports initiatives related to water conservation, habitat stewardship, and water education that create measurable, long-term environmental impact. Eligible organizations must demonstrate clear strategies, measurable outcomes, and alignment with the foundation’s conservation",The FairWays Foundation,for the grant?,30-Apr-2026,view grant link,https://thefairwaysfoundation.com/apply/,https://www2.fundsforngos.org/education/fairways-foundation-grant-to-support-conservation-based-projects/,https://www2.fundsforngos.org/tag/lebanon/
McKinsey.org Forward Learning Program,"Deadline: 20-Apr-2026 The McKinsey.org Forward Learning Program equips career starters and job changers in the Middle East and Pakistan with practical skills for the future of work. Participants gain training in problem-solving, communication, digital and AI-enabled solutions, adaptability, and workplace well-being through a 10-week structured learning journey. Overview The Forward Learning Program helps participants: Transform",McKinsey.org,,20-Apr-2026,view grant link,https://www.mckinsey.org/our-programs/forward/locations/middle-east-and-pakistan,https://www2.fundsforngos.org/education/mckinsey-org-forward-learning-program/,https://www2.fundsforngos.org/tag/lebanon/
Call for Applications: MCS Foundation Main Grant (UK),"Deadline: 31-Mar-2026 The MCS Foundation Main Grant Call 2026 offers up to £50,000 per project to support innovative solutions that reduce carbon emissions and transform home energy systems across the UK. With a total fund of £400,000, the program prioritizes projects focused on heat pump efficiency, data use, low-carbon commissioning, and retrofit demand. Open to",MCS Foundation,"charities, CICs, and public bodies, the grants aim to accelerate the transition to affordable, energy-efficient, and carbon-free homes.",31-Mar-2026,view grant link,https://mcsfoundation.org.uk/funding/main-grants/,https://www2.fundsforngos.org/environment/call-for-applications-mcs-foundation-main-grant-uk/,https://www2.fundsforngos.org/tag/lebanon/
Submissions open for Climate Curve Prize: Methane,"Deadline: 17-Apr-2026 The Climate Curve Prize: Methane invites innovators to develop solutions that reduce methane emissions from food and waste systems. The global prize provides $25,000 to eight laureates, offering funding, mentorship, and access to climate networks to scale high-impact solutions. About the Prize The Climate Curve Prize: Methane is the first global initiative dedicated",Climate Curve,innovators and change-makers,17-Apr-2026,view grant link,https://www.climatecurve.org/methane,https://www2.fundsforngos.org/environment/submissions-open-for-climate-curve-prize-methane/,https://www2.fundsforngos.org/tag/lebanon/
The Wolfgang Kiessling International Prize for Species Conservation,"Deadline: 01-Jun-2026 The Wolfgang Kiessling International Prize for Species Conservation recognizes exceptional conservation scientists whose work combats the Sixth Mass Extinction and preserves global biodiversity. The 2026 prize awards US$80,000 in unrestricted funding to support continued research and conservation projects, with winners presenting their work at an award ceremony in Washington, DC. Applicants must be",Global Humane Society,for the Wolfgang Kiessling Prize?,01-Jun-2026,view grant link,https://www.globalhumane.org/what-we-do/champion-conservation/,https://www2.fundsforngos.org/environment/the-wolfgang-kiessling-international-prize-for-species-conservation/,https://www2.fundsforngos.org/tag/lebanon/
Call for Submissions: Talent Latent Photography Programme 2026,"Deadline: 12-Apr-2026 The SCAN international photography festival, organised by Tarragona City Council, invites submissions for the Talent Latent program. Emerging photographers worldwide are encouraged to explore the theme Metamorphosis, creating projects that reflect personal, societal, and environmental transformations. Selected works will be exhibited at Tinglado 2, Port of Tarragona, from 16 October to 29 November",SCAN,all nationalities,12-Apr-2026,view grant link,https://scan.cat/en/call-for-submissions-talent-latent/,https://www2.fundsforngos.org/events/call-for-submissions-talent-latent-photography-programme-2026/,https://www2.fundsforngos.org/tag/lebanon/
Submissions Open: International Videominute Contest 2026,"Deadline: 30-Apr-2026 The Universidad de Zaragoza, in collaboration with Cinemaremagnum Servicios Audiovisuales, invites submissions for the XXV International Videominute Contest. The competition encourages creative short audiovisual works under one minute and awards prizes for the best international, Spanish, and Aragonese videominutes, as well as a special equality mention. About the Contest The Area of Culture",Department of Culture and Heritage,all individuals,30-Apr-2026,view grant link,https://cultura.unizar.es/regulations-videominute-international-contest,https://www2.fundsforngos.org/events/submissions-open-international-videominute-contest-2026/,https://www2.fundsforngos.org/tag/lebanon/
Counter Histories Grant: Reframing Puerto Rico Through Photography,"Deadline: 01-Apr-2026 The Counter Histories Fellowship supports photographers and artists engaging with Puerto Rico and its diaspora to reframe history and address urgent contemporary issues. Fellows receive a $10,000 project development grant, participate in virtual programming, and attend an in-person symposium, fostering professional development, collaboration, and the creation of visual archives. About the Fellowship Counter",Magnum Foundation,All skill levels welcome:,01-Apr-2026,view grant link,https://www.magnumfoundation.org/news/counter-histories-puerto-rico-2026-open-call,https://www2.fundsforngos.org/grant/counter-histories-grant-reframing-puerto-rico-through-photography/,https://www2.fundsforngos.org/tag/lebanon/
Call for Proposals: Direct Action Crisis Funding (US),"Deadline: 23-Mar-2026 The American Psychological Foundation (APF) Direct Action Crisis Funding provides urgent support to doctoral students and early-career psychologists who have lost research funding. Grants cover essential project activities like completing data collection, analyzing existing data, writing outputs, closing projects responsibly with community partners, or preparing new proposals. The program prioritizes research that serves",American Psychological Foundation,Why It Matters,23-Mar-2026,view grant link,https://ampsychfdn.org/funding/dacf/,https://www2.fundsforngos.org/health/call-for-proposals-direct-action-crisis-funding-us/,https://www2.fundsforngos.org/tag/lebanon/
Open Call: Design by Biomedical Undergraduate Teams (DEBUT) Challenge – US,"Deadline: 05-Jun-2026 The DEBUT Challenge invites undergraduate student teams to develop innovative biomedical solutions addressing unmet health and clinical needs. Sponsored by the National Institute of Biomedical Imaging and Bioengineering (NIBIB) and VentureWell, this competition emphasizes design innovation, teamwork, technical communication, and market potential. Winning teams receive monetary awards, commercialization training, and recognition at the",VentureWell,,05-Jun-2026,view grant link,https://venturewell.org/debut/,https://www2.fundsforngos.org/health/open-call-design-by-biomedical-undergraduate-teams-debut-challenge-us/,https://www2.fundsforngos.org/tag/lebanon/
Open Call for AstraZeneca Young Health Programme Impact Fellowship,"Deadline: 12-Apr-2026 The Young Health Programme Fellowship supports young leaders aged 18–30 who are driving positive change in health equity, climate impact on well-being, and health systems resilience. Fellows receive grants of USD 10,000–50,000 to implement six- to twelve-month projects and attend the One Young World Summit in Cape Town. The program targets youth in",One Young World,for the fellowship?,12-Apr-2026,view grant link,https://www.oneyoungworld.com/scholarship/astrazeneca-young-health-programme-impact-fellowship,https://www2.fundsforngos.org/health/open-call-for-astrazeneca-young-health-programme-impact-fellowship/,https://www2.fundsforngos.org/tag/lebanon/
Call for Applications: Deloitte Photo Grant Program,"Deadline: 14-Jun-2026 The Deloitte Photo Grant Program 2026 invites photographers under the age of 35 to submit an original photography project idea based on the theme “Proximities.” The winner will receive €25,000 to develop the project, plus exhibition opportunities, international visibility, and covered travel and accommodation in Milan. What is the Deloitte Photo Grant Program",Deloitte,photographers under the age of 35,14-Jun-2026,view grant link,https://deloittephotogrant.com/contests/open-call-2026/,https://www2.fundsforngos.org/individuals/call-for-applications-deloitte-photo-grant-program/,https://www2.fundsforngos.org/tag/lebanon/
Call for Solutions 2026: Empowering Young Climate Innovators,"Deadline: 30-Apr-2026 The Youth4Climate Call for Solutions 2026 is a global funding opportunity for young people aged 18–29 and youth-led organizations working on innovative climate action projects. Eligible applicants can apply for up to USD 30,000 in seed funding, and selected projects must be completed within 24 months. What is the Youth4Climate Call for Solutions",Youth4Climate,both,30-Apr-2026,view grant link,https://community.youth4climate.info/dashboard/call-solutions-2026-0,https://www2.fundsforngos.org/individuals/call-for-solutions-2026-empowering-young-climate-innovators/,https://www2.fundsforngos.org/tag/lebanon/
